Village_Name,Village,Union_Name
AMTALI,010,AMTALI
BHAYLABUNIA,020,AMTALI
CHALABHANGA,031,AMTALI
CHHOTA NILGANJ,032,AMTALI
MAITHA,133,AMTALI
SHARIKKHALI,194,AMTALI
CHHOTA NACHNAPARA,030,AMTALI
DAKKHIN NACHNAPARA,040,AMTALI
MAHISHDANGA,131,AMTALI
UTTAR NACHNAPARA,212,AMTALI
DAKKHIN NILGANJ,040,AMTALI
KARAIBUNIA,111,AMTALI
SEKANDARKHALI,192,AMTALI
PUJAKHOLA,160,AMTALI
BALAIBUNIA,020,AMTALI
UTTAR TIAKHALI,211,AMTALI
ARPANGASHIA,010,ARPANGASHIA
BHAILABUNIA,021,ARPANGASHIA
JUGIA,102,ARPANGASHIA
KALIBARI GHOPKHALI,113,ARPANGASHIA
UTTAR GHOPKHALI,214,ARPANGASHIA
BALIATALI,020,ARPANGASHIA
CHARAKGACHHIA,031,ARPANGASHIA
DAKKHIN CHARAKGACHHIA,042,ARPANGASHIA
GHOPKHALI,073,ARPANGASHIA
PURBA CHARAKGACHHIA,164,ARPANGASHIA
DAKKHIN TARIKATA,040,ARPANGASHIA
PATAKATA,161,ARPANGASHIA
PURBA ARPANGASHIA,162,ARPANGASHIA
TARIKATA,203,ARPANGASHIA
UTTAR TARIKATA,214,ARPANGASHIA
ATHAROGACHHIA,010,ATHAROGACHHIA
DARIKATA,041,ATHAROGACHHIA
GODANGA,072,ATHAROGACHHIA
PASHCHIM ATHAROGACHHIA,163,ATHAROGACHHIA
CHALITABUNIA,030,ATHAROGACHHIA
DAKKHIN GAZIPUR,040,ATHAROGACHHIA
UTTAR GAZIPUR,211,ATHAROGACHHIA
ALGI,010,ATHAROGACHHIA
GERABUNIA,071,ATHAROGACHHIA
CHAULA,030,ATHAROGACHHIA
DHARMANARAYAN,041,ATHAROGACHHIA
GOLBUNIA,072,ATHAROGACHHIA
SAKHARIA,193,ATHAROGACHHIA
DAKKHIN SONAKHALI,040,ATHAROGACHHIA
PASHCHIM SONAKHALI,161,ATHAROGACHHIA
PURBA SONAKHALI,162,ATHAROGACHHIA
UTTAR SONAKHALI,213,ATHAROGACHHIA
CHANDRA,030,CHAORA
CHANDRA CHALITABUNIA,031,CHAORA
CHALABHANGA,030,CHAORA
CHAORA CHALITABUNIA,031,CHAORA
KAONIA,113,CHAORA
LODHA,124,CHAORA
BAITHAGHATA,021,CHAORA
BETMOR,022,CHAORA
GHATKHALI,073,CHAORA
GILATALA,074,CHAORA
PATAKATA,160,CHAORA
CHAR TAJEM,030,‌GULISAKHALI
FAKIRKHALI,060,‌GULISAKHALI
BAINBUNIA,020,‌GULISAKHALI
BAZARKHALI,021,‌GULISAKHALI
DALACHARA,042,‌GULISAKHALI
DEBPUR,043,‌GULISAKHALI
GOJKHALI,074,‌GULISAKHALI
GULISAKHALI,070,‌GULISAKHALI
HARIDRABARIA,081,‌GULISAKHALI
KALAGACHHIA,110,‌GULISAKHALI
KALIBARI,110,‌GULISAKHALI
ANGULKATA,010,‌GULISAKHALI
KHEKUANI,111,‌GULISAKHALI
CHHANAUTA,030,HALDIA
DAKKHIN RAOGHA,040,HALDIA
DAKKHIN TAKTABUNIA,040,HALDIA
HALDIA,080,HALDIA
KANTHALIA,110,HALDIA
KULAIRCHAR,110,HALDIA
MADHYA PASHCHIM CHILA,130,HALDIA
PASHCHIM CHILA,161,HALDIA
PURBA CHILA,160,HALDIA
DAKKHIN TEPURA,040,HALDIA
UTTAR TEPURA,211,HALDIA
UTTAR RAOGHA,210,HALDIA
UTTAR TAKTABUNIA,210,HALDIA
CHAR KISHOREE,030,KUKUA
CHARKHALI,030,KUKUA
AMRAGACHHIA,010,KUKUA
KALIPUR,111,KUKUA
HARIMRITYUNJOY,080,KUKUA
PASHCHIM KEOABUNIA,160,KUKUA
PURBA KEOABUNIA,161,KUKUA
KHAKDON,110,KUKUA
PASHCHIM KRISHNANAGAR,160,KUKUA
PURBA KRISHNANAGAR,161,KUKUA
PASHCHIM KUKUA,160,KUKUA
PURBA KUKUA,161,KUKUA
PASHCHIM CHUNAKHALI,160,KUKUA
PURBA CHUNAKHALI,160,KUKUA
PASHCHIM RAYBALA,160,KUKUA
PURBA RAYBALA,161,KUKUA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AMTALI,010,BAMNA
DAKKHIN AMTALI,041,BAMNA
MADHYA AMTALI,132,BAMNA
BAMNA,020,BAMNA
KATAKHALI,111,BAMNA
BEBAJIAKHALI,020,BAMNA
CHAR RUHITA,030,BAMNA
CHARAKHALI,030,BAMNA
CHECHAN,030,BAMNA
DHUSKHALI,040,BAMNA
KALAGACHHIA,110,BAMNA
KALIKABARI,110,BAMNA
CHUCHRAKHALI,030,BAMNA
NIJAMTALI,141,BAMNA
POTKAKHALI,160,BAMNA
RUHITA,180,BAMNA
DAKKHIN SHAFIPUR,040,BAMNA
PASHCHIM SHAFIPUR,161,BAMNA
PURBA SHAFIPUR,162,BAMNA
SONAKHALI,190,BAMNA
BARA JADABPURA,020,BUKABUNIA
BARA TALESHWAR,020,BUKABUNIA
BATAJOR,020,BUKABUNIA
BUKABUNIA,020,BUKABUNIA
CHHONBUNIA,030,BUKABUNIA
JAFRAKHALI,101,BUKABUNIA
CHHOTA JADABPURA,030,BUKABUNIA
CHHOTA TALESHWAR,030,BUKABUNIA
JOYNAGAR,100,BUKABUNIA
KALAIYA,110,BUKABUNIA
LAKKHIPUR,120,BUKABUNIA
LATABUNIA,120,BUKABUNIA
KALIKABARI,110,BUKABUNIA
PASHCHIM CHALITABUNIA,161,BUKABUNIA
PURBA CHALITABUNIA,162,BUKABUNIA
SHINGRABUNIA,190,BUKABUNIA
DAKKHIN BHAIJORA,040,DOUATALA
UTTAR BHAIJORA,211,DOUATALA
DAKKHIN DOUATALA,040,DOUATALA
UTTAR DOUATALA,211,DOUATALA
CHALABHANGA,030,DOUATALA
DAKKHIN GUDIGHATA,041,DOUATALA
